SPEAKER,WORD,VOWEL,F1,F2,SEX,HEIGHT
S1,bad,æ,848.07,1450.96,male,173
S1,bard,ɑ,648.318,1126.22,male,173
S1,bead,i,259,1834,male,173
S1,bed,e,578.985,1715.22,male,173
S1,bid,ɪ,405,1899,male,173
S1,bird,ɜ,656.6,1414.4,male,173
S1,board,ɔ,360.034,988.693,male,173
S1,bod,ɒ,513.689,1023,male,173
S1,booed,u,277,1461,male,173
S1,bud,ʌ,592.313,1278.6,male,173
S1,buddha,ʊ,360,1333.3,male,173
S2,bad,æ,784.838,1509.93,male,183
S2,bard,ɑ,541,1106.3,male,183
S2,bead,i,237,2258,male,183
S2,bed,e,534.241,1665.86,male,183
S2,bid,ɪ,463.917,1758.13,male,183
S2,bird,ɜ,518.467,1332.34,male,183
S2,board,ɔ,390,948,male,183
S2,bod,ɒ,479.25,1072.14,male,183
S2,booed,u,288,1109,male,183
S2,bud,ʌ,485.53,1257.8,male,183
S2,buddha,ʊ,497,1293,male,183
S3,bad,æ,1059.12,1804.63,female,163
S3,bard,ɑ,1015.22,1361.59,female,163
S3,bead,i,471.265,2791.13,female,163
S3,bed,e,767.386,1965.74,female,163
S3,bid,ɪ,615.322,2206.29,female,163
S3,bird,ɜ,754.801,1760.54,female,163
S3,board,ɔ,463.75,964.717,female,163
S3,bod,ɒ,584.931,1228.56,female,163
S3,booed,u,466.943,2360.9,female,163
S3,bud,ʌ,798.624,1539.36,female,163
S3,buddha,ʊ,532.573,1825.2,female,163
S4,bad,æ,1041.4,1819.8,female,164
S4,bard,ɑ,837.754,1252.9,female,164
S4,bead,i,366.237,1841.18,female,164
S4,bed,e,761.223,2121.64,female,164
S4,bid,ɪ,503.988,2476.84,female,164
S4,bird,ɜ,687.815,1678.39,female,164
S4,board,ɔ,431.103,846.635,female,164
S4,bod,ɒ,737.779,1141.27,female,164
S4,booed,u,200,379,female,164
S4,bud,ʌ,546.817,1714.43,female,164
S4,buddha,ʊ,532.739,1739.86,female,164
S5,bad,æ,886.302,1447.41,female,165
S5,bard,ɑ,899.91,1303.45,female,165
S5,bead,i,373.277,2602.93,female,165
S5,bed,e,760.893,1971.33,female,165
S5,bid,ɪ,364.504,2195.73,female,165
S5,bird,ɜ,583.127,1670.84,female,165
S5,board,ɔ,562.698,1042.11,female,165
S5,bod,ɒ,608.719,1112.69,female,165
S5,booed,u,459.272,1635.41,female,165
S5,bud,ʌ,339,1817,female,165
S5,buddha,ʊ,503.042,1475.03,female,165
S6,bad,æ,908.41,1411.76,male,181
S6,bard,ɑ,613,1044,male,181
S6,bead,i,320.294,2048.55,male,181
